"global_category","indicator_name","value","count"
"Mitigation","Baseline emissions level in target year (MtCO2eq)","n/a",99
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.53",6
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.5231",4
"Mitigation","Baseline emissions level in target year (MtCO2eq)","11.6",4
"Mitigation","Baseline emissions level in target year (MtCO2eq)","4.475",4
"Mitigation","Baseline emissions level in target year (MtCO2eq)","400",4
"Mitigation","Baseline emissions level in target year (MtCO2eq)","5.302",4
"Mitigation","Baseline emissions level in target year (MtCO2eq)","143",3
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.24",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.676",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.758",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.816",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","0.836",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","104",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","105.5",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","13.368",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","138 to 153",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","155",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","17",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","17.663",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","187.73",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","193.25",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","214.206",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","22.647",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","234",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","28.65937",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","298.3",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","3.3",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","306.1 MtCO2e cumulative 2021-2030",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","335",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","34.253",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","35",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","38.42",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","38.86136",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","41.7",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","416",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","430",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","48.9",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","51.028",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","51.2",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","555",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","7",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","73.95",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","77.3",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","787.4",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","850.6",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","973",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","Not Specified",2
"Mitigation","Baseline emissions level in target year (MtCO2eq)","104,000 ktCO2e in 2030",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","1603",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","170.8",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","18.1 MtCO2e under Independence scenario, 9.1 MtCO2e under Status quo scenario",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","2,341 kTCO2e",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","2,355 ktCO2eq",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","2869",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","310 million tonnes.<br>""BAU scenario emissions in 2030 stand at about 310 million tonnes, assuming a moderate annual economic growth rate based on historical growth trends.""",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","345.8",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","38.95",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","43.81",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","555 MtCO2e",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","6.3",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","7.2MtCO2e",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","726.2 million tonnes of CO2eq",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","74.3",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","927.9 million tonnes of CO2eq",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","991",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","Business-As-Usual (2030) emission level: approximately 29.5 Mt CO2e",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","Emissions in 2030 under a BAU is 3,284.92 Gg CO2e",1
"Mitigation","Baseline emissions level in target year (MtCO2eq)","projected business-as-usual cumulative economy-wide emission of 3,340.3 MtCO2e for the period of 2020-2030",1
