"global_category","indicator_name","value","count"
"Adaptation","Migration and displacement","Migration/relocation not mentioned",295
"Adaptation","Migration and displacement","#N/A",28
"Adaptation","Migration and displacement","Migration as consequence of climate impacts",4
"Adaptation","Migration and displacement","Displacement/migration not mentioned",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (climate change and climate variability: could cause migration)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (floods: displaced 230.000 people in 2015)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (natural disasters and climate extremes; farmers change livelihood and migrate away)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (rain patterns variations: causing migration)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (rainfall shortage could make Guinea a refuge for non-Guinean patoralists)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (sea erosion: can cause displacement)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (sea level rise: resulting in migration)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (sea level rise: unavoidable migration)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (variable rains: human displacement)",2
"Adaptation","Migration and displacement","References to both migration and relocation (floods displaced 1000s of people in 2014, 2015. Relocate from flood-prone areas)",2
"Adaptation","Migration and displacement","References to both migration and relocation (integrate domestic and international migration in adaptation strategies)",2
"Adaptation","Migration and displacement","References to both migration and relocation (sea level rise: forced migration. Establishing host country agreements for emigration)",2
"Adaptation","Migration and displacement","References to both migration and relocation (strengthen capacity to anticipate internal migration; strengthen rural settlements to reduce migration)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy ('massive rural exodus' caused by climate change)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (considers to relocate economic activities away from thrreat of sea level rise)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (move population out of areas vulnerable to climate related hazards and floods in particular)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (reduce number of people living in vulnerable areas by providing housing in safer areas)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocate from areas affected frequently or at risk of e.g. (flash) floods)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocate irregular human settlements in disaster-prone zones through land use regulations)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocate provincial headquarters and town from Taro Island to the mainland)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocation away from high risk zones will continue)",2
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocation of communities to higher grounds)",2
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (climate change: undermining agricultural sectors and causing rural-urban migration)",1
"Adaptation","Migration and displacement","Migration as consequence of climate impacts (migratory movements e.g by pastoralists)",1
"Adaptation","Migration and displacement","No Document Submitted",1
"Adaptation","Migration and displacement","Relocation as adaptation strategy (away from flood-prone and/or contaminated areas)",1
"Adaptation","Migration and displacement","Relocation as adaptation strategy (away from shoreline)",1
"Adaptation","Migration and displacement","Relocation as adaptation strategy (relocation of vulnerable communities away from coastal zones)",1
"Adaptation","Migration and displacement","Relocation as adaptation strategy (transhumance corridors)",1
"Adaptation","Migration and displacement","Risk of displacement/migration as a consequence of climate change",1
